Time,Mbps,ActiveServer
1,0.0,172.16.1.10
2,0.0,172.16.1.10
3,4.65,172.16.1.10
4,10.35,172.16.1.10
5,11.05,172.16.1.20
6,10.34,172.16.1.20
7,10.32,172.16.1.20
8,10.34,172.16.1.20
9,10.34,172.16.1.20
10,10.32,172.16.1.20
11,10.34,172.16.1.20
12,10.32,172.16.1.20
13,10.32,172.16.1.20
14,10.32,172.16.1.20
15,10.35,172.16.1.20
16,10.32,172.16.1.20
17,10.34,172.16.1.20
18,10.32,172.16.1.20
19,10.36,172.16.1.20
20,10.34,172.16.1.20
21,10.34,172.16.1.20
22,10.34,172.16.1.20
23,10.34,172.16.1.20
24,10.32,172.16.1.20
25,10.34,172.16.1.20
26,10.34,172.16.1.20
27,10.32,172.16.1.20
28,10.34,172.16.1.20
29,10.34,172.16.1.20
30,10.34,172.16.1.20
31,10.34,172.16.1.20
32,10.31,172.16.1.20
33,10.36,172.16.1.20
34,10.34,172.16.1.20
35,10.34,172.16.1.20
36,10.32,172.16.1.20
37,10.35,172.16.1.20
38,10.34,172.16.1.20
39,10.32,172.16.1.20
40,10.34,172.16.1.20
41,10.34,172.16.1.20
42,10.32,172.16.1.20
43,3.8,172.16.1.20
44,1.07,172.16.1.20
45,0.4,172.16.1.10
46,0.0,172.16.1.10
47,0.0,172.16.1.10
48,0.0,172.16.1.10
49,0.0,172.16.1.10
