Time,TotalMbps,Web1Mbps,Web2Mbps,Mode
1,0.0,0.0,0.0,RoundRobin
2,183.91,78.87,107.98,RoundRobin
3,545.07,235.22,324.82,RoundRobin
4,570.16,232.02,320.68,RoundRobin
5,547.42,226.69,312.97,RoundRobin
6,548.0,236.15,325.94,RoundRobin
7,607.03,245.9,339.82,RoundRobin
8,547.93,229.88,317.31,RoundRobin
9,563.02,233.93,322.92,RoundRobin
10,552.94,228.18,315.22,RoundRobin
11,538.1,227.91,314.9,RoundRobin
12,548.65,225.57,311.33,RoundRobin
13,547.87,225.94,312.03,RoundRobin
14,537.28,224.47,310.02,RoundRobin
16,551.45,232.23,320.67,RoundRobin
17,545.0,226.36,312.64,RoundRobin
18,556.95,228.69,315.81,RoundRobin
19,539.8,226.23,312.42,RoundRobin
20,540.96,224.44,309.96,RoundRobin
21,547.69,228.02,314.64,RoundRobin
22,543.59,227.63,314.43,RoundRobin
23,569.31,241.55,333.86,RoundRobin
24,577.98,240.93,332.43,RoundRobin
25,566.76,225.96,312.06,RoundRobin
26,539.65,224.52,310.24,RoundRobin
27,535.38,224.42,309.89,RoundRobin
28,535.89,219.86,303.65,RoundRobin
29,526.44,226.03,312.06,RoundRobin
30,548.69,223.47,308.72,RoundRobin
32,549.1,232.01,320.24,RoundRobin
33,541.16,225.0,310.82,RoundRobin
34,540.01,229.96,317.36,RoundRobin
35,555.53,222.59,307.54,RoundRobin
36,530.01,220.76,304.84,RoundRobin
37,539.96,222.98,307.93,RoundRobin
38,546.65,227.35,313.84,RoundRobin
39,532.08,224.5,310.12,RoundRobin
40,536.83,220.62,304.69,RoundRobin
41,529.5,224.77,310.36,RoundRobin
42,153.48,57.56,80.12,RoundRobin
43,54.3,22.56,31.18,RoundRobin
44,15.5,6.4,8.96,RoundRobin
45,0.0,0.0,0.0,RoundRobin
46,0.0,0.0,0.0,RoundRobin
47,0.0,0.0,0.0,RoundRobin
48,0.0,0.0,0.0,RoundRobin
49,0.0,0.0,0.0,RoundRobin
50,0.0,0.0,0.0,RoundRobin
51,0.0,0.0,0.0,RoundRobin
52,0.0,0.0,0.0,RoundRobin
53,0.0,0.0,0.0,RoundRobin
54,0.0,0.0,0.0,RoundRobin
55,0.0,0.0,0.0,RoundRobin
56,0.0,0.0,0.0,RoundRobin
57,0.0,0.0,0.0,RoundRobin
58,0.0,0.0,0.0,RoundRobin
59,0.0,0.0,0.0,RoundRobin
60,0.0,0.0,0.0,RoundRobin
61,0.0,0.0,0.0,RoundRobin
62,0.0,0.0,0.0,RoundRobin
63,0.0,0.0,0.0,RoundRobin
64,0.0,0.0,0.0,RoundRobin
65,0.0,0.0,0.0,RoundRobin
66,0.0,0.0,0.0,RoundRobin
67,0.0,0.0,0.0,RoundRobin
68,0.0,0.0,0.0,RoundRobin
69,0.0,0.0,0.0,RoundRobin
70,0.0,0.0,0.0,RoundRobin
71,0.0,0.0,0.0,RoundRobin
72,0.0,0.0,0.0,RoundRobin
73,0.0,0.0,0.0,RoundRobin
74,0.0,0.0,0.0,RoundRobin
75,0.0,0.0,0.0,RoundRobin
76,0.0,0.0,0.0,RoundRobin
77,0.0,0.0,0.0,RoundRobin
78,0.0,0.0,0.0,RoundRobin
79,0.0,0.0,0.0,RoundRobin
80,0.0,0.0,0.0,RoundRobin
81,0.0,0.0,0.0,RoundRobin
82,0.0,0.0,0.0,RoundRobin
83,0.0,0.0,0.0,RoundRobin
84,0.0,0.0,0.0,RoundRobin
85,0.0,0.0,0.0,RoundRobin
87,0.0,0.0,0.0,RoundRobin
88,0.0,0.0,0.0,RoundRobin
